AssetId,StableID,UnitNameRu,Category,Event,CandidateId,RawFilePath,RuntimeFilePath,DurationSeconds,SampleRate,BitDepth,Channels,LUFS,PeakDbTP,HeadSilenceMs,TailSilenceMs,Status,QC_Notes
VO_RU_SU_RubezhRifleman_Selected_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Selected,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Selected_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Selected_01.wav,3.89,48000,24,1,-17.0,-2.09,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Move_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Move,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Move_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Move_01.wav,2.252,48000,24,1,-17.0,-2.07,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Attack_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Attack,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Attack_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Attack_01.wav,1.93,48000,24,1,-17.0,-2.1,75.0,188.5,PASS,
VO_RU_SU_RubezhRifleman_Ability_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Ability,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Ability_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Ability_01.wav,2.289,48000,24,1,-17.0,-2.36,75.0,184.6,PASS,
VO_RU_SU_RubezhRifleman_Damaged_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Damaged,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Damaged_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Damaged_01.wav,1.283,48000,24,1,-17.0,-2.24,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Elite_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Elite,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Elite_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Elite_01.wav,2.124,48000,24,1,-17.0,-2.54,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Idle_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Idle,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Idle_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Idle_01.wav,1.77,48000,24,1,-17.01,-2.06,75.0,180.6,PASS,
VO_RU_SU_RubezhRifleman_Death_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Death,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Death_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Death_01.wav,2.223,48000,24,1,-17.01,-2.05,75.0,180.0,PASS,
VO_RU_SU_ZapalGrenadier_Selected_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Selected,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Selected_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Selected_01.wav,1.348,48000,24,1,-17.05,-2.0,75.0,180.0,PASS,
VO_RU_SU_ZapalGrenadier_Move_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Move,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Move_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Move_01.wav,1.279,48000,24,1,-17.09,-2.0,75.0,179.6,PASS,
